tmdbId,vote_average,vote_count,popularity
9587,7.28,1286,6.6344
19101,7.618,1013,3.511
49980,7.203,101,4.8606
18183,7.278,539,5.696
4476,7.383,2750,8.5905
11008,6.442,852,7.3408
32325,6.6,35,1.6473
43742,5.4,60,4.5742
28313,6.5,102,9.4152
11318,6.773,249,3.3996
3036,6.438,1311,7.1669
40490,5.36,182,5.167
24070,5.35,213,1.8927
8986,6.379,298,6.3807
10510,6.745,1096,7.9494
17402,5.2,58,1.3674
38722,7.444,81,1.8785
8438,7.147,590,4.8987
11593,6.85,326,3.3934
1945,6.554,533,3.9201
39310,6.244,45,1.2381
109560,2.813,9,1.8151
56428,4.6,9,0.2814
131957,5.393,14,2.6859
241,7.052,3630,5.0678
9058,6.738,548,4.1428
527,7.4,461,2.981
18220,4.62,138,5.1315
6950,6.564,2388,3.4091
101,8.3,15578,12.7208
63020,6.05,40,5.4697
2307,5.1,15,1.3762
680,8.5,29294,17.9371
25296,7.3,80,1.6985
40156,6.3,143,2.3167
11450,7.264,946,4.8144
30304,6.4,24,3.8052
10452,7.2,399,2.1786
12106,6.537,1867,3.1295
161495,5.7,29,6.0808
3586,5.2,222,1.3483
110,7.909,1493,2.6055
108,7.642,1804,2.6005
109,7.443,1274,2.6904
36357,5.585,71,2.7035
92769,4.3,6,0.1984
28033,5.2,25,0.8008
22586,6.6,981,5.1081
14334,6.7,92,2.143
2636,5.938,1376,5.1389
2164,7.012,3629,5.0439
11395,6.507,2179,6.1716
278,8.712,29248,27.4741
9905,7.0,1082,1.267
87078,6.4,39,3.0946
12527,7.037,81,4.4033
20306,6.6,328,3.3686
36614,6.732,71,7.4655
27993,5.424,99,5.4824
31439,8.1,349,2.5491
9067,5.44,548,2.5601
9059,6.871,528,3.7983
193,6.5,1414,1.8571
25066,6.239,178,3.0131
46797,6.1,32,2.6228
12122,6.113,880,3.3156
11381,6.802,1011,7.3278
32636,6.5,86,1.5924
36141,5.635,85,7.0095
95963,5.793,29,3.0835
1587,7.661,4134,7.1512
9271,5.507,576,6.2136
2064,7.017,1909,3.2326
19855,6.6,213,0.8144
60855,6.265,17,6.2001
236,6.8,476,4.0254
48287,5.351,97,1.6458
3049,6.568,6127,5.2174
2759,7.278,871,4.2644
12635,6.07,107,1.4114
10497,7.096,814,9.3636
11382,7.078,647,1.3001
9331,6.647,1603,2.7664
10731,6.701,1281,8.0343
10464,6.7,438,7.0442
34152,6.815,154,6.0341
9495,7.517,4349,4.5008
29973,5.886,92,1.9536
888,5.361,2544,3.6041
13,8.463,28867,16.7366
712,6.771,2864,3.3945
16295,6.3,230,1.9917
48992,6.175,20,2.3652
10879,5.5,221,3.6373
10660,6.692,869,5.716
10714,5.953,482,4.5377
41647,7.103,29,1.8021
8587,8.255,19158,14.2012
1689,6.3,431,4.6584
11596,6.5,1519,2.4728
854,6.974,10840,14.9459
9359,6.885,1684,3.0668
23333,5.8,56,0.9182
36593,6.487,2355,5.3266
12280,6.6,225,4.6827
2788,6.564,770,1.3443
10427,6.742,376,3.1509
11011,5.941,2351,6.4405
